university_id,university_name,query_text,intent,department,priority
1,Greenfield Institute of Technology,visitor policy in hostel,hostel_booking,Hostel Administration,medium
1,Greenfield Institute of Technology,online journals access kaise karein,library_access,Library,low
1,Greenfield Institute of Technology,attendance portal pe nahi dikh rahi,attendance_policy,Student Affairs,medium
1,Greenfield Institute of Technology,digital library access from home,library_access,Library,low
2,Lakeview University,how to pay exam fee online,exam_schedule,Academic Registry,medium
1,Greenfield Institute of Technology,urgent bonafide possible hai kya,document_request,Examination Cell,medium
2,Lakeview University,how to apply for attendance exemption,attendance_policy,Student Welfare,medium
2,Lakeview University,can i pay fees by UPI or credit card,fee_payment,Bursary Office,high
1,Greenfield Institute of Technology,I want to file a complaint against a faculty member,grievance,Student Affairs,high
1,Greenfield Institute of Technology,how to apply for attendance exemption,attendance_policy,Student Affairs,medium
2,Lakeview University,highest package offered last year,placement_info,Placement Cell,low
1,Greenfield Institute of Technology,subject wise attendance kaise dekhein,attendance_policy,Student Affairs,medium
2,Lakeview University,paid fees but portal still shows due,fee_payment,Bursary Office,high
1,Greenfield Institute of Technology,hostel warden se complaint kaise karein,hostel_booking,Hostel Administration,medium
1,Greenfield Institute of Technology,revaluation fee kya hai,revaluation_request,Examination Cell,high
1,Greenfield Institute of Technology,hostel allotment kaise hoti hai,hostel_booking,Hostel Administration,medium
2,Lakeview University,I disagree with my result what can I do,revaluation_request,Academic Registry,high
2,Lakeview University,attendance update hone mein kitna time lagta hai,attendance_policy,Student Welfare,medium
2,Lakeview University,minimum CGPA for placement,placement_info,Placement Cell,low
2,Lakeview University,total fees for one year,fee_payment,Bursary Office,high
2,Lakeview University,backlog hai toh placement mil sakti hai,placement_info,Placement Cell,low
1,Greenfield Institute of Technology,meri problem ka koi solution nahi de raha,grievance,Student Affairs,high
1,Greenfield Institute of Technology,marks totalling error lag raha hai,revaluation_request,Examination Cell,high
2,Lakeview University,can I appear in exam without paying fee,exam_schedule,Academic Registry,medium
1,Greenfield Institute of Technology,sexual harassment complaint process,grievance,Student Affairs,high
1,Greenfield Institute of Technology,proxy attendance allowed hai kya,attendance_policy,Student Affairs,medium
1,Greenfield Institute of Technology,which companies come for placement,placement_info,Career Services,low
1,Greenfield Institute of Technology,how many credits can I register for,course_registration,Computer Science & Engineering,medium
1,Greenfield Institute of Technology,eligibility criteria for campus placements,placement_info,Career Services,low
2,Lakeview University,admission counselling dates,admission_query,Student Welfare,medium
2,Lakeview University,no dues certificate library se chahiye,library_access,Digital Library,low
1,Greenfield Institute of Technology,medical leave pe attendance relax hogi kya,attendance_policy,Student Affairs,medium
1,Greenfield Institute of Technology,subject wise attendance kaise dekhein,attendance_policy,Student Affairs,medium
1,Greenfield Institute of Technology,result ke baad revaluation kab hoti hai,revaluation_request,Examination Cell,high
2,Lakeview University,exam fee last date kya hai,exam_schedule,Academic Registry,medium
2,Lakeview University,exam hall ticket kaise download karein,exam_schedule,Academic Registry,medium
2,Lakeview University,medical certificate kahan submit karein,attendance_policy,Student Welfare,medium
2,Lakeview University,attendance kam hai kya karun,attendance_policy,Student Welfare,medium
2,Lakeview University,ICC committee contact,grievance,Student Welfare,high
1,Greenfield Institute of Technology,missed scholarship deadline is there any extension,scholarship_inquiry,Finance & Accounts,high
1,Greenfield Institute of Technology,fee not reflecting in portal after payment,fee_payment,Finance & Accounts,high
2,Lakeview University,minimum credit requirement per semester,course_registration,Information Technology,medium
1,Greenfield Institute of Technology,how to pay exam fee online,exam_schedule,Examination Cell,medium
2,Lakeview University,hostel warden ne galat fine laga di,grievance,Student Welfare,high
1,Greenfield Institute of Technology,ICC committee contact,grievance,Student Affairs,high
1,Greenfield Institute of Technology,attendance kam hai kya karun,attendance_policy,Student Affairs,medium
1,Greenfield Institute of Technology,total fees for one year,fee_payment,Finance & Accounts,high
2,Lakeview University,how many credits can I register for,course_registration,Information Technology,medium
2,Lakeview University,revaluation ke liye apply karne ki last date,revaluation_request,Academic Registry,high
1,Greenfield Institute of Technology,total fees for one year,fee_payment,Finance & Accounts,high
1,Greenfield Institute of Technology,how to get bonafide certificate,document_request,Examination Cell,medium
1,Greenfield Institute of Technology,condonation of shortage of attendance process,attendance_policy,Student Affairs,medium
1,Greenfield Institute of Technology,kitni attendance required hoti hai exams ke liye,attendance_policy,Student Affairs,medium
